Day,Sales,Trading Profit,Operating Expense,Net Profit
1,0,0,12600,-12600
2,0,0,220520,-220520
3,0,0,284140,-284140
4,54886,22312,319760,-297448
5,146956,59755,357599,-297844
6,237194,99124,391219,-292095
7,325230,83673,434894,-351221
8,415589,123714,472569,-348855
9,535753,193857,509064,-315207
10,1273616,527289,608652,-81363
11,1878687,705105,652738,52367
12,7070569,2573938,703622,1870316
13,7698959,2959539,741542,2217997
14,8540307,3418512,781462,2637050
15,8796504,3437070,859082,2577988
16,9006082,3542462,903262,2639200
17,9164537,3582868,951256,2631612
18,11668204,4796825,1032434,3764391
19,11822274,4872790,1095007,3777783
20,12071978,5035171,1156323,3878848
21,12180450,5100381,1200071,3900310
22,12293425,5168385,1276040,3892345
23,12466205,5249162,1337233,3911929
24,12631257,5330000,1383789,3946211
25,12742349,5395655,1443381,3952274
26,12851763,5460651,1491561,3969090
27,14488422,6033078,1581205,4451873
28,14616086,6114687,1627305,4487382
29,14789697,6203220,1708981,4494239
30,15054669,6363759,1788892,4574867
31,15398097,6494443,1854238,4640205
32,16197780,6759430,1934739,4824691
33,16336452,6838700,1999894,4838806
34,17759037,7334323,2045578,5288745
35,18683949,7654895,2139162,5515733
36,19806784,8028930,2226705,5802225
37,20796033,8370948,2271940,6099008
38,21139014,8570842,2319658,6251184
39,21472390,8706415,2380318,6326097
40,23006942,9217282,2469177,6748105
41,23858551,9449130,2534598,6914532
42,24007668,9542008,2602254,6939754
43,26324945,10497720,2676673,7821047
44,26478433,10610974,2728928,7882046
45,26945732,10809839,2784561,8025278
46,27050859,10875671,2849538,8026133
47,27578830,11120918,2901404,8219514
48,27641562,11161662,2964843,8196819
49,28243559,11359958,3075115,8284843
50,29161399,11708746,3139408,8569338
51,29224847,11749567,3204681,8544886
52,29862544,12055203,3418640,8636563
53,31174558,12662416,3508031,9154385
54,31307077,12778051,3561641,9216410
55,31962770,13235116,3615297,9619819
56,33995514,14320302,3668677,10651625
57,34351458,14576527,3802726,10773801
58,34659622,14803191,3872435,10930756
59,34737820,14860669,3927698,10932971
60,34817391,14919403,4017566,10901837
61,34892072,14974660,4074463,10900197
62,34967593,15030392,4177902,10852490
63,35343924,15188985,4233519,10955466
64,35549873,15300220,4301760,10998460
65,35971626,15564543,4354311,11210232
66,36285189,15700388,4428349,11272039
67,36442709,15824927,4529880,11295047
68,36565538,15915483,4601052,11314431
69,36689995,15999650,4674044,11325606
70,36829455,16104929,4756710,11348219
71,37556915,16351674,4860282,11491392
72,37736064,16498758,4997098,11501660
73,38327835,16700338,5051827,11648511
74,38503810,16844992,5136676,11708316
75,39445218,17135701,5185533,11950168
76,39675539,17317683,5264721,12052962
77,39846275,17428462,5315568,12112894
78,41257275,18143728,5387400,12756328
79,42161230,18824363,5438432,13385931
80,42924659,19375893,5500377,13875516
81,43627376,19889367,5565059,14324308
82,44398103,20044308,5627957,14416351
83,44888338,20115443,5689299,14426144
84,45037403,20197019,5742200,14454819
85,46233924,20335515,5820771,14514744
86,46426672,20477964,5881673,14596291
87,46562658,20562835,5934240,14628595
88,46697073,20645971,6001167,14674804
89,47111171,20770906,6052813,14778093
90,48340920,21035893,6108373,14987520
